title,director,cast,country,release_year,rating,listed_in,description,type,is_adult,start_year,runtime,genres,average_rating,num_votes,year_added
buster's mal heart,Sarah Adina Smith,"Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter, Toby Huss, Lin Shaye, Mark Kelly, Bruce Bundy, Teresa Yenque, Sandra Ellis Lafferty, Nicholas Pryor",United States,2016,TV-MA,"Independent Movies, Thrillers","On the run from authorities, a troubled man recalls the mysterious events – and the strange drifter – that inspired his unusual transformation.",movie,False,2016,96,"Crime,Drama,Mystery",6.1,8940,2017
butterfield 8,Daniel Mann,"Elizabeth Taylor, Laurence Harvey, Eddie Fisher, Dina Merrill, Mildred Dunnock, Betty Field, Jeffrey Lynn, Susan Oliver",United States,1960,TV-14,"Classic Movies, Dramas, Romantic Movies","Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right.",movie,False,1960,109,"Drama,Romance",6.4,5896,2019
buybust,Erik Matti,"Anne Curtis, Brandon Vera, Victor Neri, Arjo Atayde, Levi Ignacio, Alex Calleja, Lao Rodriguez, Joross Gamboa, Ricky Pascua, Nonie Buencamino",Philippines,2018,TV-MA,"Action & Adventure, International Movies","In a mazelike Manila slum, at war with incensed civilians and a brutal cartel, special agent Nina Manigan must fight her way through one fierce night.",movie,False,2018,127,"Action,Crime,Thriller",5.8,1674,2018
bwakaw,Jun Lana,"Eddie Garcia, Princess, Rez Cortez, Bibeth Orteza, Joey Paras, Allan Paule, Beverly Salviejo, Soxy Topacio, Armida Siguion-Reyna, Luz Valdez, Gardo Versoza","Philippines, Canada, United Kingdom, United States",2012,TV-MA,"Dramas, International Movies, LGBTQ Movies","Gruff and alone, retiree Rene rejects most human contact but begins to soften when he comes to terms with his homosexuality.",movie,False,2012,110,Drama,6.9,246,2020
by the sea,Angelina Jolie,"Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer","France, Malta, United States",2015,R,"Dramas, Romantic Movies","Troubled by the state of their marriage, Vanessa and Roland visit a French seaside town, where they have a fateful encounter with a pair of newlyweds.",movie,False,2015,122,"Drama,Romance",5.3,19001,2020
bygones be bygones,Hakan Algül,"Ata Demirer, Tuvana Türkay, Ülkü Duru, Salih Kalyon, Renan Bilek, Seda Güven, Toprak Sergen, Ali Yoğurtçuoğlu, Bedir Bedir, Gümeç Alpay Aslan",Turkey,2017,TV-MA,"Comedies, International Movies, Romantic Movies",A mother's plan to find her bachelor son a match derails when a new prospect turns up and sinister schemes unfold.,movie,False,2017,108,Comedy,6.2,3579,2019
bypass road,Naman Nitin Mukesh,"Neil Nitin Mukesh, Adah Sharma, Rajit Kapoor, Gul Panag, Shama Sikander, Manish Chaudhary, Sudhanshu Pandey, Taher Shabbir",India,2019,TV-14,"International Movies, Thrillers","On the night his ex-lover mysteriously dies, a top fashion designer has a serious accident, raising questions on whether the incidents are linked.",movie,False,2019,137,"Drama,Mystery,Thriller",5.4,869,2020
c kkompany,Sachin Yardi,"Mahesh Bhatt, Mithun Chakraborty, G.K. Desai, Celina Jaitly, Karan Johar, Ekta Kapoor, Tusshar Kapoor, Anupam Kher, Ashok Pandit, Lalit Parashar, Raima Sen, Rajpal Yadav",India,2008,TV-14,"Action & Adventure, Comedies, International Movies","To blow off some steam, friends Akshay, Joshi and Lambodar, posing as a gang called C Kkompany, make a phony extortion demand to Joshi's apathetic son. The trio is shocked when their prank call makes them anonymous celebrities.",movie,False,2008,127,"Comedy,Drama,Thriller",5.4,1022,2019
cabin fever,Travis Zariwny,"Gage Golightly, Matthew Daddario, Samuel Davis, Nadine Crocker, Dustin Ingram, Randy Schulman",United States,2016,R,"Horror Movies, Thrillers","As a flesh-eating virus rips its way through a remote woodland cabin, the terrified teens vacationing inside wonder who'll fall victim next.",movie,False,2016,99,"Horror,Sci-Fi,Thriller",3.7,9393,2019
cadaver,Jarand Herdal,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez",Norway,2020,TV-MA,"Horror Movies, International Movies","When a peculiar hotel dinner show draws crowds during a postapocalyptic famine, one family discovers they'll pay much more than the price of admission.",movie,False,2020,86,"Drama,Horror,Thriller",5.1,7369,2020
cagaster of an insect cage,,"Yoshimasa Hosoya, Kana Hanazawa, Natsuki Hanae, Takahiro Sakurai, Daisuke Namikawa, Toshiyuki Morikawa, Kazuyuki Okitsu, Junichi Suwabe, Tomohiro Shiozaki, Ai Kayano, Tetsu Shiratori, Yasuhiro Mamiya, Daiki Yamashita, Akari Kito, Tomokazu Sugita, Aoi Yuki, Kohsuke Toriumi",Japan,2020,TV-MA,"Anime Series, International TV Shows","Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother.",tvSeries,False,2020,29,"Action,Animation,Drama",6.2,482,2020
cairo station,Youssef Chahine,"Farid Shawqy, Hind Rostom, Youssef Chahine, Hassan el Baroudi, Abdel Aziz Khalil, Naima Wasfy, Said Khalil, Abdel Ghani Nagdi",Egypt,1958,TV-14,"Classic Movies, Dramas, International Movies",A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.,movie,False,1958,77,"Crime,Drama",7.6,3686,2020
cake,Asim Abbasi,"Aamina Sheikh, Sanam Saeed, Adnan Malik, Mohammad Ahmad, Beo Rana Zafar, Faris Khalid, Hira Hussain, Mikaal Zulfiqar","United Kingdom, Pakistan",2018,TV-MA,"Comedies, Dramas, International Movies","When their aging father’s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface.",movie,False,2018,125,"Drama,Mystery,Romance",7.7,1051,2019
calendar girls,Madhur Bhandarkar,"Akanksha Puri, Avani Modi, Kyra Dutt, Ruhi Singh, Satarupa Pyne, Mita Vashisht, Keith Sequeira, Deepak Wadhwa, Indraneil Sengupta, Vikram Sakhalkar",India,2015,TV-14,"Dramas, International Movies",Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.,movie,False,2015,131,Drama,4.2,849,2017
calendar girls,Madhur Bhandarkar,"Akanksha Puri, Avani Modi, Kyra Dutt, Ruhi Singh, Satarupa Pyne, Mita Vashisht, Keith Sequeira, Deepak Wadhwa, Indraneil Sengupta, Vikram Sakhalkar",India,2015,TV-14,"Dramas, International Movies",Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.,tvEpisode,False,2015,45,Reality-TV,4.8,5,2017
calibre,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie, Cameron Jack",United Kingdom,2018,TV-MA,"Dramas, International Movies, Thrillers",Two lifelong friends on a hunting trip in Scotland find their nerves – and their morals – ruthlessly tested after a harrowing turn of events.,movie,False,2018,101,"Drama,Thriller",6.8,23551,2018
caliphate,,"Aliette Opheim, Gizem Erdogan, Amed Bozan, Albin Grenholm, Nora Rios, Yussra El Abdouni, Amanda Sohrabi, Lancelot Ncube, Simon Mezher, Ala Riani",Sweden,2020,TV-MA,"International TV Shows, TV Dramas","An impending ISIS attack on Sweden entangles a group of women, including a mother in a bind, a spirited student and an ambitious cop.",tvSeries,False,2020,46,"Crime,Drama,Thriller",8.2,13862,2020
calum von moger: unbroken,Vlad Yudin,Calum Von Moger,United States,2019,TV-MA,"Documentaries, Sports Movies","Bodybuilder and two-time Mr. Universe, Calum von Moger, reflects on his rise to fame and battle to come back from a debilitating injury.",movie,False,2019,95,Documentary,6.2,689,2019
cam,Daniel Goldhaber,"Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann",United States,2018,TV-MA,"Horror Movies, Independent Movies, Thrillers","After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity.",movie,False,2018,94,"Drama,Horror,Mystery",5.9,27568,2018
camp cool kids,Lisa Arnold,"Connor Rosen, Logan Shroyer, Michael Gross, Markie Post, Leigh-Allyn Baker, Juliocesar Chavez, Tyree Brown",United States,2017,TV-G,"Children & Family Movies, Comedies, Dramas","A young boy attends summer camp, where he overcomes his fears, stands up to bullies and learns important lessons about faith and life.",video,False,2017,104,"Comedy,Family",4.7,431,2018
camp x,,,Canada,2014,TV-MA,Docuseries,"Established during World War II, North America's first secret agent training school – known as Camp X – paved the way for present-day espionage.",tvMovie,False,2014,88,"Drama,History,War",7.5,78,2019
camp x-ray,Peter Sattler,"Kristen Stewart, Peyman Moaadi, John Carroll Lynch, Lane Garrison, Joseph Julian Soria, Ser'Darius Blain, Cory Michael Smith, Julia Duffy",United States,2014,R,"Dramas, Independent Movies","Fresh Army recruit Amy Cole is assigned to Guantanamo Bay's Camp X-Ray, where she forms a surprising bond with one of the prisoners in her charge.",movie,False,2014,117,"Drama,War",6.9,39650,2017
can we get married?,,"Sung Jun, So-min Jung, Sung-min Kim, Ae-yeon Jeong, Mi-sook Lee, Eun-sook Sunwoo, Seok-woo Kang, Young-kwang Kim, Han Groo, Jin-soo Kim",South Korea,2012,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","On the cusp of marriage or divorce, four couples consider the meaning of love, sharing a life, meddling families and the weight of their commitment.",tvSeries,False,2012,56,"Comedy,Romance",7.0,97,2017
can you hear me?,,"Mélissa Bédard, Ève Landry, Florence Longpré",Canada,2020,TV-MA,"International TV Shows, TV Comedies, TV Dramas",Three friends in a low-income neighborhood find humor and hope in their lives as they grapple with bad boyfriends and their dysfunctional families.,movie,False,2020,75,Documentary,7.8,28,2020
can you hear me?,,"Mélissa Bédard, Ève Landry, Florence Longpré",Canada,2020,TV-MA,"International TV Shows, TV Comedies, TV Dramas",Three friends in a low-income neighborhood find humor and hope in their lives as they grapple with bad boyfriends and their dysfunctional families.,tvEpisode,False,2020,49,"Adventure,Drama,Family",5.6,3048,2020
can't hardly wait,"Harry Elfont, Deborah Kaplan","Jennifer Love Hewitt, Ethan Embry, Charlie Korsmo, Lauren Ambrose, Peter Facinelli, Seth Green, Michelle Brookhurst, Alexander Martin, Erik Palladino, Channon Roe, Sean Patrick Thomas",United States,1998,PG-13,"Comedies, Romantic Movies","At a wild high school graduation party, aspiring writer Preston hopes to declare his love to popular girl Amanda, who just got dumped by the class jock.",movie,False,1998,100,"Comedy,Romance",6.5,46543,2021
can't help falling in love,Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli, Zanjoe Marudo, Cherry Pie Picache, Lotlot De Leon, Dennis Padilla, Lito Pimentel, Joross Gamboa, Janus del Prado",Philippines,2017,TV-14,"Comedies, Dramas, International Movies","Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger.",movie,False,2017,119,"Comedy,Drama,Romance",7.2,794,2019
candy jar,Ben Shelton,"Christina Hendricks, Helen Hunt, Uzo Aduba, Sami Gayle, Jacob Latimore",United States,2018,TV-14,"Children & Family Movies, Dramas, Romantic Movies",Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,movie,False,2018,92,Comedy,5.8,4478,2018
candyflip,Shanawaz Nellikunnil,"Prashant Prakash, Kalki Koechlin, Prakash Raj, Gulshan Devaiah, Valeriya Polyanychko",India,2017,TV-MA,"Dramas, Independent Movies, International Movies","On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs.",movie,False,2017,105,"Fantasy,Mystery,Thriller",6.0,85,2019
candyman,Bernard Rose,"Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis","United States, United Kingdom",1992,R,"Cult Movies, Horror Movies","Grad student Helen Lyle unintentionally summons the Candyman, a hook-handed creature made flesh by other people's belief in him.",movie,False,1992,99,"Horror,Thriller",6.6,71577,2019
cannabis,,"Jean-Michel Correia, Yasin Houicha, Pedro Casablanc, Christophe Paou, Kate Moran, Santi Pons",France,2016,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","When a huge marijuana shipment falls prey to thieves, the aftermath touches players from all ranks of the drug trade between Morocco and Europe.",tvSeries,False,2016,312,"Crime,Drama,Thriller",6.9,569,2016
canvas,Frank E. Abney III,,United States,2020,G,"Children & Family Movies, Dramas","After a heartbreaking loss, a grandfather struggling to reclaim his passion for painting finds the inspiration to create again.",short,False,2020,9,"Animation,Drama,Family",6.5,1693,2020
capital in the twenty-first century,Justin Pemberton,,"France, New Zealand",2019,TV-14,Documentaries,"Based on economist Thomas Piketty's best-selling book, this documentary examines wealth accumulation and its looming social repercussions.",movie,False,2019,103,Documentary,7.3,1926,2020
cappuccino,Noushad,"Dharmajan Bolgatty, Aneesh Menon, Sunil Sukhada, Anita Lukmance, Kottayam Pradeep, Natasha Doshi, Hareesh Perumanna, Sharanya, Vineeth Mohan, Sudhi Koppa",India,2017,TV-PG,"Comedies, Dramas, International Movies","Richi is a director of commercials whose computer memory drive is accidentally switched with that of Sneha, a woman he soon falls in love with.",movie,False,2017,131,"Comedy,Drama",3.6,37,2018
captive,,,United Kingdom,2016,TV-MA,"Crime TV Shows, Docuseries","This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals.",tvEpisode,False,2016,43,"Drama,Horror,Sci-Fi",7.5,3259,2016
captive,,,United Kingdom,2016,TV-MA,"Crime TV Shows, Docuseries","This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals.",tvEpisode,False,2016,42,Talk-Show,8.2,42,2016
captive,,,United Kingdom,2016,TV-MA,"Crime TV Shows, Docuseries","This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals.",tvSeries,False,2016,60,Documentary,7.0,580,2016
carbon,Olivier Marchal,"Benoît Magimel, Gringe, Idir Chender, Laura Smet, Michaël Youn, Dani, Patrick Catalifo, Gérard Depardieu","France, Belgium",2017,TV-MA,"Dramas, International Movies, Thrillers","On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder.",movie,False,2017,104,"Crime,Thriller",6.5,2175,2018
care bears: welcome to care-a-lot,,"David Lodge, Patty Mattson, Doug Erholtz, Stephanie Sheh, Nayo Wallace, Michael Sinterniklaas, Michaela Dean",United States,2012,TV-Y,Kids' TV,"Nestled in a faraway cloud is a rainbow-colored world called Care-a-Lot, home to the magical Care Bears who each have a special talent.",tvSeries,False,2012,30,"Animation,Family",5.6,142,2019
caregiver,Chito S. Roño,"Sharon Cuneta, John Estrada, John Manalo, Rica Peralejo, Jhong Hilario, Saul Reichlin, Matthew Rutherford, Claire Jeater, Makisig Morales, Mickey Ferriols",Philippines,2008,TV-14,"Dramas, International Movies","Sarah leaves her son in the Philippines to reunite with her husband in London, where she struggles personally and professionally as a care-home worker.",movie,False,2008,130,Drama,6.3,165,2019
carlos almaraz: playing with fire,"Elsa Flores Almaraz, Richard J Montoya","Edward James Olmos, Zach De La Rocha",United States,2019,TV-14,"Documentaries, LGBTQ Movies","Mixing archival footage with interviews, this film celebrates one of Los Angeles's most influential painters and Chicano art activists from the 1970s.",movie,False,2019,82,Documentary,7.5,41,2020
carmel: who killed maria marta?,Alejandro Hartmann,,Argentina,2020,TV-14,"Crime TV Shows, Docuseries, International TV Shows","A woman is found dead in her bathtub, with a puddle of blood nearby. Her husband theorizes she had an accident. But an autopsy tells a different story.",tvMiniSeries,False,2020,229,"Crime,Documentary,Mystery",7.1,1724,2020
carmen sandiego: to steal or not to steal,Jos Humphrey,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Liam O'Brien, Mary Elizabeth McGlynn, Toks Olagundoye, Sharon Muthu","Canada, United States",2020,TV-Y7,Children & Family Movies,"You drive the action in this interactive adventure, helping Carmen save Ivy and Zack when V.I.L.E. captures them during a heist in Shanghai.",short,False,2020,31,"Action,Adventure,Animation",7.0,561,2020
carol,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler, Jake Lacy, John Magaro, Cory Michael Smith, Carrie Brownstein, Kevin Crowley, Nik Pajic","United Kingdom, United States, Australia",2015,R,"Dramas, LGBTQ Movies, Romantic Movies","In the 1950s, a glamorous married woman and an aspiring photographer embark on a passionate, forbidden romance that will forever change their lives.",movie,False,2015,118,"Drama,Romance",7.2,117883,2020
carole & tuesday,,"Miyuri Shimabukuro, Kana Ichinose, Akio Otsuka, Miyu Irino, Sumire Uesaka, Hiroshi Kamiya, Mamoru Miyano, Kenyu Horiuchi, Tomoko Miyadera, Takahiro Sakurai, Maaya Sakamoto, Hiroki Yasumoto",Japan,2019,TV-MA,"Anime Series, International TV Shows, Teen TV Shows","Part-timer Carole meets rich girl Tuesday, and each realizes they've found the musical partner they need. Together, they just might make it.",tvSeries,False,2019,22,"Animation,Drama,Music",7.9,1556,2019
carrie,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",United States,1976,R,"Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.",movie,False,1976,98,Horror,7.4,169852,2019
carrie pilby,Susan Johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",United States,2016,TV-MA,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",movie,False,2016,98,"Comedy,Drama",6.7,9361,2017
carriers,"Àlex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses",United States,2009,PG-13,"Horror Movies, Sci-Fi & Fantasy, Thrillers","As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.",movie,False,2009,85,"Adventure,Drama,Sci-Fi",6.0,44050,2019
casa de mi padre,Matt Piedmont,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez","United States, Mexico",2012,R,Comedies,Will Ferrell stars as a Spanish-speaking cowboy in this comedy about a Mexican clan trying to rescue their ranch from greedy creditors.,movie,False,2012,85,"Comedy,Western",5.5,20350,2012
casablancas: the man who loved women,Hubert Woroniecki,,France,2016,TV-14,"Documentaries, International Movies",The rise and smash success of Elite modeling agency founder John Casablancas is chronicled in this biography of the man who invented the supermodel.,movie,False,2016,89,Documentary,6.1,309,2017
case,,"Steinunn Ólína Þorsteinsdóttir, Magnús Jónsson, Þorsteinn Bachmann, Jóhanna Vigdís Arnardóttir, Birna Rún Eiríksdóttir, Elma Stefania Agustsdottir, Bergur Þór Ingólfsson, Halldóra Geirharðsdóttir, Arnar Jónsson, Davíð Freyr Þórunnarson, Björn Stefánsson, Nína Dögg Filippusdóttir, Hjortur Jóhann Jónsson",Iceland,2015,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.,tvSeries,False,2015,45,"Crime,Drama,Mystery",7.1,2276,2016
case 39,Christian Alvart,"Renée Zellweger, Jodelle Ferland, Ian McShane, Bradley Cooper, Callum Keith Rennie, Adrian Lester, Kerry O'Malley, Cynthia Stevenson, Alexander Conti, Philip Cabrita","United States, Canada",2009,R,"Horror Movies, Thrillers",A naïve social worker brings a 10-year-old child into her home to rescue the girl from abusive parents – only to learn that she isn't what she seems.,movie,False,2009,109,"Horror,Mystery,Thriller",6.2,80032,2021
case closed,,"Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard",Japan,2015,TV-14,"Anime Series, Crime TV Shows, TV Thrillers","Turned into a young boy by a sinister potion, teen sleuth Conan helps solve baffling crimes while tracking down the nefarious agents who poisoned him.",tvEpisode,False,2015,22,Comedy,7.6,54,2019
case closed,,"Minami Takayama, Alison Retzloff, Wakana Yamazaki, Colleen Clinkenbeard, Akira Kamiya, R. Bruce Elliott, Wataru Takagi, Chafurin, Mark Stoddard",Japan,2015,TV-14,"Anime Series, Crime TV Shows, TV Thrillers","Turned into a young boy by a sinister potion, teen sleuth Conan helps solve baffling crimes while tracking down the nefarious agents who poisoned him.",tvEpisode,False,2015,47,"Action,Drama",8.0,21,2019
casino royale,Martin Campbell,"Daniel Craig, Judi Dench, Eva Green, Jeffrey Wright, Mads Mikkelsen, Giancarlo Giannini","United Kingdom, Czech Republic, United States, Germany, Bahamas",2006,PG-13,Action & Adventure,"Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table.",movie,False,2006,144,"Action,Adventure,Thriller",8.0,586747,2020
casino tycoon,Wong Jing,Wong Jing,Hong Kong,1992,TV-MA,"Action & Adventure, Dramas, International Movies","When Japanese troops invade Hong Kong, young Benny Ho flees to Macau and rises to the top of the city's casino business with pluck, diligence and wit.",movie,False,1992,133,"Action,Crime,Thriller",6.0,319,2018
casting jonbenet,Kitty Green,,"United States, Australia, China",2017,TV-14,Documentaries,Local actors from JonBenet Ramsey's hometown offer multiple perspectives on her 1996 murder as they vie to play roles in a dramatization of the case.,movie,False,2017,80,"Crime,Documentary,Drama",6.1,5028,2017
cat on a hot tin roof,Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor",United States,1958,NR,"Classic Movies, Dramas","Members of a Southern clan scramble to curry favor with a dying, wealthy patriarch in this adaptation of Tennessee Williams's sizzling stage drama.",movie,False,1958,108,Drama,8.0,45727,2019
catch me if you can,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin","United States, Canada",2002,PG-13,Dramas,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",movie,False,2002,141,"Biography,Crime,Drama",8.1,848396,2021
catching the sun,Shalini Kantayya,,"China, Germany, India, United States",2015,TV-14,Documentaries,This documentary explores the worldwide economics of the burgeoning solar energy industry and its impact on hopeful job seekers in the United States.,movie,False,2015,75,"Documentary,Drama,History",6.8,544,2016
catfight,Onur Tukel,"Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill, Myra Lucretia Taylor, Ariel Kavoussi, Damian Young, Stephen Gevedon, Giullian Yao Gioiello, Tituss Burgess",United States,2016,TV-MA,"Comedies, Independent Movies",Two college frenemies whose lives aren't what they hoped meet up decades later and escalate their resentments from verbal jabs to bloody brawls.,movie,False,2016,95,"Action,Comedy,Drama",5.8,5553,2017
cats & dogs: the revenge of kitty galore,Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka","United States, Australia",2010,PG,"Children & Family Movies, Comedies",Cats and dogs must set aside their differences and merge animal instincts when Kitty Galore decides to claw her way to global domination.,movie,False,2010,82,"Action,Adventure,Animation",4.3,14169,2019
catwalk: tales from the cat show circuit,"Aaron Hancox, Michael McNamara",,Canada,2018,TV-PG,"Documentaries, International Movies","This fun, charming documentary follows the exploits of some very feline-friendly folks as they strive to get their kitties crowned Canada’s top cat.",movie,False,2018,75,Documentary,6.3,565,2019
cave,Henrik Martin Dahlsbakken,"Heidi Toini, Benjamin Helstad, Mads Sjogard Pettersen, Ingar Helge Gimle",Norway,2016,TV-MA,"Action & Adventure, International Movies, Thrillers","Torn between old camaraderie and recent tensions, three ex-soldiers reunite to explore a deadly cave but soon discover terror beyond all expectations.",movie,False,2016,85,"Adventure,Crime,Thriller",4.2,2067,2017
cedric the entertainer: live from the ville,Troy Miller,Cedric the Entertainer,United States,2016,TV-MA,Stand-Up Comedy,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk.""",tvSpecial,False,2016,60,Comedy,6.0,648,2016
cells at work!,,"Kana Hanazawa, Tomoaki Maeno, Daisuke Ono, Kikuko Inoue, Maria Naganawa, Takahiro Sakurai, Saori Hayami, Nobuhiko Okamoto, Yuichi Nakamura, Shoya Chiba, M・A・O, Ayako Kawasumi, Aya Endo, Hiroyuki Yoshino, Mamiko Noto",Japan,2018,TV-PG,"Anime Series, Teen TV Shows","One newcomer red blood cell just wants to do her job. Between bacteria incursions and meeting a certain white blood cell, she's got a lot to learn!",tvSeries,False,2018,24,"Action,Animation,Comedy",7.6,1652,2020
celluloid man,Shivendra Singh Dungarpur,P.K. Nair,India,2012,TV-PG,"Documentaries, International Movies","This documentary chronicles the philosophy and life's work of archivist P.K. Nair, who made a mission of preserving Indian cinema’s rich history.",movie,False,2012,164,Documentary,7.9,132,2017
cemara's family,Yandy Laurens,"Ringgo Agus Rahman, Nirina Zubir, Zara JKT48, Widuri Puteri, Ariyo Wahab, Asri Welas, Abdurrahman Arif, Kafin Sulthan",Indonesia,2018,TV-G,"Children & Family Movies, Dramas, International Movies","After bankruptcy, Abah and Emak must adapt to a new life with their children in a remote village.",movie,False,2018,110,"Drama,Family",7.8,630,2020
center stage,Nicholas Hytner,"Amanda Schull, Zoe Saldana, Susan May Pratt, Peter Gallagher, Donna Murphy, Debra Monk, Ethan Stiefel, Sascha Radetsky, Julie Kent, Ilia Kulik",United States,2000,PG-13,Dramas,"Vying for a spot in the American Ballet Company, 12 dance students are ready to push their bodies and minds to the limit to realize their dreams.",movie,False,2000,115,"Drama,Music,Romance",6.7,19172,2020
chaahat,Mahesh Bhatt,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan",India,1996,TV-14,"Dramas, International Movies, Romantic Movies",A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.,movie,False,1996,151,"Drama,Romance",5.6,2643,2017
chal bhaag,Prakash Balwant Saini,"Deepak Dobriyal, Tarun Bajaj, Keeya Khanna, Varun Mehra, Sanjay Mishra, Yashpal Sharma, Mukesh Tiwari, Atul Srivastava, Manish Khanna, Kunwar Aziz",India,2014,TV-14,"Comedies, Dramas, International Movies",Three petty criminals find themselves in a pickle when police wrongly charge them with the murder of an important politician.,movie,False,2014,111,Comedy,4.2,97,2018
chal dhar pakad,Aatmaram Dharne,Nagesh Bhonsle,India,2010,TV-14,"Comedies, Dramas, International Movies","After her fat-shaming husband brings home a new lover, a wife in Maharashtra recruits a group of women to challenge him in a kabaddi match.",movie,False,2010,129,Drama,4.0,7,2018
chal mere bhai,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani",India,2000,TV-14,"Comedies, International Movies, Romantic Movies","When a secretary saves her tycoon boss's life, his family hears wedding bells. Problem is, she's already in love – with his younger brother.",movie,False,2000,136,"Comedy,Romance",4.7,2927,2019
